ue;annee;dossier;question;bareme;attendus_du_corrige;pieges_et_vigilance;source
UE5;2024;1;1.2-1.3 arguments contre le changement de CRM, conduite du changement;n.c.;Urbanisation, architecture modulaire · arguments de H2O rejetés (services identiques, coût de maintenir deux logiciels, AP maintenue en interne) · risque = freins au changement (technologique, organisationnel) → plans de formation et de communication détaillés.;Détailler le contenu des plans (cible, messages, calendrier…).;Corrigé UE5 2024 (Drive « UE 5 - 2024 Corrigé ») — scan lu visuellement
UE5;2024;2;2.1 alignement stratégique (Venkatraman);n.c. (dossier 14 pts);Quatre composantes du modèle de Venkatraman · seul l'axe stratégie d'entreprise / stratégie SI est demandé · différenciation par la qualité vs maîtrise des coûts SI → alignement jugé bon.;Citer l'auteur et se limiter à l'axe demandé.;Corrigé UE5 2024 (Drive « UE 5 - 2024 Corrigé ») — scan lu visuellement
UE5;2024;2;2.2-2.3 indicateurs de performance et de qualité du SI;n.c.;Performance : dépenses SI/CA, ROI, coût hotline/budget SI, compétences par application · qualité : satisfaction des utilisateurs, accompagnement du changement, jours de formation · acceptés : sécurité, disponibilité.;Deux indicateurs par question, reliés aux objectifs affichés (coûts, compétences).;Corrigé UE5 2024 (Drive « UE 5 - 2024 Corrigé ») — scan lu visuellement
UE5;2024;3;3.1 note de synthèse BYOD et SI fantômes;n.c. (dossier 12 pts);Définition du Shadow IT · avantages (innovation, partage des connaissances, usage, économies) · risques (intégrité, vie privée, sécurité) · gouvernance : équilibre autonomie/centralisation.;Forme « note de synthèse ».;Corrigé UE5 2024 (Drive « UE 5 - 2024 Corrigé ») — scan lu visuellement
UE5;2024;3;3.2 erreurs de gestion de projet par phase;n.c.;Tableau par phase · objectifs non mesurables, coût ignoré, triangle délai/qualité/coût absent, pas de COPIL ni d'équipe, cahier des charges par la secrétaire, MOE trop décisionnaire, pas de PERT/GANTT, pas de lien avec l'utilisateur.;Structurer par les phases, comme la question l'exige.;Corrigé UE5 2024 (Drive « UE 5 - 2024 Corrigé ») — scan lu visuellement
UE5;2023;1;Q1-Q2 mots-clés GED conformes RGPD, facture erronée;n.c. (dossier 6 pts);Mots-clés : dates de période, de comptabilisation, d'échéance, référence d'engagement, montants HT/TTC, TVA · exclus : adresses, contacts, SIREN, opérateurs · facture erronée : avoir + nouvelle facture avec nouveau numéro, piste d'audit fiable.;Ne jamais supprimer la traçabilité.;Corrigé UE5 2023 (Drive « UE 5 - 2023 Corrigé »)
UE5;2023;1;Q3-Q5 calendrier de conservation, bon à payer, RGPD;n.c.;Purge à 10 ans après la clôture (11 ans après la date de facture accepté) · documents d'engagement et de livraison pour le BAP · RGPD : sécurité, durée de conservation, droits, registre, habilitations, anonymisation.;;Corrigé UE5 2023 (Drive « UE 5 - 2023 Corrigé »)
UE5;2023;2;Q6-Q7 COPIL et méthodologie de projet;n.c. (dossier 8 pts);COPIL : chef de projet, sponsor, membres de l'équipe, donneur d'ordre (pas les clients basculés, qui vont en COPROJ) · cycle en V / cascade avec avantages et inconvénients.;;Corrigé UE5 2023 (Drive « UE 5 - 2023 Corrigé »)
UE5;2023;2;Q8 organisation du programme et GANTT de 5 bascules;n.c.;Paralléliser les bascules, prioriser pour éviter les ressources inoccupées, gestion de projet mutualisée · GANTT de 3 personnes (Evelyne, Patrice, Jean) sur 5 projets A-E.;Exercice de planification pratique : s'entraîner à le tracer vite.;Corrigé UE5 2023 (Drive « UE 5 - 2023 Corrigé »)
UE5;2023;2;Q9 urbanisation et documents à réviser;n.c.;Définition de l'urbanisation · éléments à réviser : infrastructure (DAT), interfaces/flux, sécurité, processus, architecture applicative.;;Corrigé UE5 2023 (Drive « UE 5 - 2023 Corrigé »)
UE5;2023;3;Q10-Q13 facturation électronique, PDP, sécurité;n.c. (dossier 6 pts);Rôle des PDP · motivations (fraude à la TVA, automatisation, contrôles, statistiques, compétitivité) · calendrier par taille · plan de classement : pas d'obligation de changement (Factur-X possible) · sécurité : accès, confidentialité, intégrité, RGPD, haute disponibilité.;ALERTE ACTUALITÉ : le calendrier 2024-2026 du corrigé est dépassé. Report (LF 2024) à septembre 2026 (réception pour toutes, émission GE/ETI) et septembre 2027 (émission PME/micro). Le PPF est abandonné comme plateforme de facturation (octobre 2024) au profit des plateformes agréées. À vérifier dans une source officielle à jour.;Corrigé UE5 2023 (Drive « UE 5 - 2023 Corrigé ») + alerte
UE5;2022;1;Q1-Q3 gouvernance du SI, schéma d architecture, FCS;n.c. (dossier 6 pts);Définition de la gouvernance du SI (rôles, responsabilités, décision) · schéma d'architecture cible à dessiner (suppressions/ajouts de GED, ERP, BD, VPN, AD) · FCS : gouvernance validée, audit, coopération, communication, adhésion, planning, ITIL.;Le schéma est un livrable noté : le dessiner.;Corrigé UE5 2022 (Drive « UE 5 - 2022 Corrigé »)
UE5;2022;2;Q1-Q2 typologies de factures et circuits de validation;n.c. (dossier 7 pts);≥ 4 typologies (engagée, non engagée, frais généraux, immobilisation, exploitation, sous-traitance, notes de frais) · tableau des circuits de validation (niveaux 1-3 par pays et par type).;Optimiser = regrouper les types ayant le même circuit.;Corrigé UE5 2022 (Drive « UE 5 - 2022 Corrigé »)
UE5;2022;2;Q3-Q4 étapes du workflow, méthode, Factur-X;n.c.;Analyse, paramétrage, recette, formation, mise en production · cycle en V (une date de bascule) ou agile par typologie · Factur-X = PDF + XML (format hybride), avantages.;;Corrigé UE5 2022 (Drive « UE 5 - 2022 Corrigé »)
UE5;2022;3;Q1-Q3 SaaS vs On Premise, tout-en-un, DPO mutualisé;n.c. (dossier 7 pts);Définitions et choix par application (CRM en SaaS, ERP et GED plutôt On Premise) · avantage et inconvénient du tout-en-un · DPO mutualisable (art. 37 RGPD, groupe ou contrat de service).;Citer l'article 37.;Corrigé UE5 2022 (Drive « UE 5 - 2022 Corrigé »)
UE5;2021;1;Q1-Q3 organisations SI, schéma directeur, indicateurs de coût;n.c. (dossier 8 pts);Organisations : fusionnée, répartie, indépendante, externalisée (CSP) · schéma directeur (définition + tableau par phases : période, objectifs, acteurs, livrables) · indicateurs de coût : infrastructures, maintenance, disponibilité, RH (ETP), valorisation, amortissement, coût d'opportunité.;Le schéma directeur est attendu sous forme de tableau phasé.;Corrigé UE5 2021 (Drive « UE 5 - 2021 Corrigé »)
UE5;2021;2;Q4-Q6 FCS/risque, méthodes de projet, GANTT 5 tâches 40 semaines;n.c. (dossier 5 pts);FCS/risques (audit, coopération, progiciel, prestataires, utilisateurs, planning, tests) · cycle en V recommandé, agile non recommandé (disponibilité), autres méthodes discutées · GANTT à tracer.;GANTT : graduation en semaines, 5 tâches, total 40.;Corrigé UE5 2021 (Drive « UE 5 - 2021 Corrigé »)
UE5;2021;3;Q7-Q11 SI achats : conservation, workflow, numérisation, RGPD, continuité;n.c. (dossier 7 pts);Conservation 10 ans · workflow de validation → bon à payer · destruction du papier possible si copie fiable (piste d'audit fiable) · RGPD : données fournisseurs licites pour l'exécution du contrat · continuité : GED hybride, PCA/PRA, réversibilité (incendie OVH 2021), VPN.;;Corrigé UE5 2021 (Drive « UE 5 - 2021 Corrigé »)
UE5;2020;1;Q1-Q8 DPO, AIPD, registre, consentement, contrats;1 pt par question;DPO (données sensibles) · mutualisation · rôle auprès de la direction · AIPD si risque élevé · registre · information des salariés · mise à jour des contrats des sous-traitants.;ALERTES : le corrigé dit le registre non obligatoire sous 250 salariés, or l'exception de l'art. 30.5 ne s'applique pas aux traitements non occasionnels comme la paie. Il fonde le traitement des salariés sur le consentement, alors que cette base est fragile dans la relation de travail. Il qualifie les sous-traitants de « coresponsables », alors que l'art. 28 en fait des sous-traitants liés par contrat. À vérifier dans le cours ou auprès de la CNIL.;Corrigé UE5 2020 (Drive « UE 5 - 2020 Corrigé ») + alerte
UE5;2020;2;Q9-Q15 risques SI, formation, RGPD clients, newsletter;1 pt ou 0,5 pt par question;PCA · notification de violation à la CNIL sous 72 h · formation (y compris à distance, plateforme sécurisée) · obligations RGPD (consentement, minimisation, habilitations, droits, conservation) · local vs SaaS · cabinet = sous-traitant de ses clients (lettre de mission) · newsletter : identité, désinscription, information.;Barème fin par question : réponses courtes et précises.;Corrigé UE5 2020 (Drive « UE 5 - 2020 Corrigé »)
UE5;2020;3;Q16-Q20 ERP, séminaires end-user/key-user, sécurité;1-2 pts par question;Bénéfices de l'intégration (BD unique) · plan des séminaires (tronc commun, spécialisations EU/KU, conclusion) · 3 silos (3 BD + 6 applications) → 1 ERP (1 BD + 6 modules) · questionnaire sécurité et indicateur.;;Corrigé UE5 2020 (Drive « UE 5 - 2020 Corrigé »)
