ue;annee;dossier;question;bareme;attendus_du_corrige;pieges_et_vigilance;source
UE3;2025;3;Q4 arguments pour réviser le PCI;n.c.;Quatre registres : financier, fiscal (risque de redressement, principe de pleine concurrence), social (participation des salariés), sociétal (citoyenneté fiscale).;Structurer par registre.;Corrigé UE3 2025 (copie FicheBEN, Drive « UE 3 - 2025 Corrigé »)
UE3;2024;1-2;Toutes questions;n.c.;Non vérifié : corrigé 2024 non exploitable (fichier Drive > 10 Mo, téléchargement impossible).;À compléter dès réception d'une version légère.;Non vérifié
UE3;2023;1;Q1 PESTEL opportunités/menaces, facteurs pivots, scénarios;n.c. (dossier 30 pts);PESTEL appliqué à l'éolien · identifier les variables pivots (acceptabilité, dérèglement climatique, soutien public) · construire deux scénarios (favorable, défavorable) · conclure sur l'incertitude (investissement = pari, activité d'exploration).;Le corrigé sanctionne la liste « à la Prévert » : il faut hiérarchiser et conclure.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;1;Q2 5 (+1) forces de Porter;n.c.;5 forces ou 5+1 acceptées · schéma conforme à Porter (axe horizontal fournisseurs-concurrents-clients) · clients très puissants (oligopole, 9/10), État 8/10, fournisseurs 6/10, concurrence et entrants 5/10, substituts 1/10 (notes facultatives).;Analyser le marché de l'entreprise (composants) et non celui de ses clients. Ne pas oublier une force essentielle.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;1;Q3 synthèse environnement général et concurrentiel;n.c.;Demi-page combinant PESTEL et Porter : forte incertitude, forces principales = clients et pouvoir politique.;Respecter la longueur imposée.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;2;Q1 écarts sur CA et sur MCV par gamme (volume, prix/coût);n.c. (dossier 35 pts);Écart CA total ≈ +432 k€ mais MCV −376 k€ · Ciel'Ouvert : écart volume CA +1 124, prix −663 · MCV volume +303, coût −945 · Brise : volume −3 056 (CA) et −1 151 (MCV) · conclusion : deux gammes problématiques (Ciel'Ouvert par les coûts, Brise par les volumes).;Écart volume = ΔQ × marge (ou prix) de référence · écart prix/coût = ΔP × Q réelle. Conclure en note au COPIL.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;2;Q2 cartographie des parties prenantes;n.c.;Freeman · pouvoirs publics FR/TR, direction, sous-traitant turc, commune, salariés et syndicats, nouveaux fournisseurs · présentation matricielle conseillée.;Intégrer les dimensions extra-comptables et coûts cachés.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;2;Q3 gain économique de la relocalisation;n.c.;MCV objectif 6 196 k€ contre 4 620 k€ réalisés : gain 1 576 k€ · frais de mise au point (25 % matière + personnel sur 3 mois) 927 k€ · gain net 1re année ≈ 650 k€ · décision pertinente.;Le gain du corrigé compare un objectif à 1 000 000 pièces au réalisé à 947 177 : il inclut donc un effet volume. Le signaler dans la copie.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;2;Q4 raisons de l internalisation;n.c.;Critère économique (question 3) + critères extra-économiques : image Made in France, recrutement, soutien public, maîtrise logistique et qualité, souveraineté.;Faire/faire-faire : croiser chiffré et qualitatif.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;3;Q1 définir la compétence et méthode d évaluation;n.c. (dossier 35 pts);Savoir + savoir-faire + savoir-être · évaluation par le manager de proximité · grille de compétences Savall-Zardet (carré noir/semi-noir/blanc/tiret) · repérer forces et vulnérabilités.;Méthode adaptée à une PME industrielle.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;3;Q2 formation et plan de formation;n.c.;Grille prospective des compétences de demain · plan de formation négocié managers/salariés · mobilité interne, communautés de pratiques, recrutement externe.;Distinguer compétences actuelles et futures.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;3;Q3 six domaines de QVT et attractivité;n.c.;Conditions de travail · organisation du travail · 3C (communication-coordination-concertation) · gestion du temps · formation · mise en œuvre stratégique (dont rémunération).;Six domaines du diagnostic socio-économique (ISEOR).;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;3;Q4 coûts cachés et 3 indicateurs;n.c.;Coûts non pris en compte par le SI comptable · composantes : surtemps, sursalaires, non-production, surconsommations, risques · 5 dysfonctionnements : absentéisme, AT/MP, rotation, défauts de qualité, écarts de productivité directe.;Les 3 indicateurs sont à choisir parmi ces 5 domaines.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2023;3;Q5 construire un TBS;n.c.;Indicateurs de résultat qualitatifs, quantitatifs, financiers (coûts cachés) sur les 5 domaines + indicateurs d'action (compétences, formation, recrutement) · responsables et périodicité.;Présentation tableau : objectif, indicateur, cible, réalisé, écart, responsable.;Corrigé UE3 2023 (copie FicheBEN, Drive)
UE3;2022;1;Q1-Q2 PESTEL et 5+1 forces (Gant Maille);n.c. (dossier 40 pts selon sujet);PESTEL (plan de relance, Covid, délocalisations, pénurie de couturières) · 5+1 forces · synthèse opportunités/menaces.;Toujours conclure sur O/M.;Corrigé UE3 2022 (Drive)
UE3;2022;1;Q3 stratégie générique;n.c.;Différenciation vers le haut (Made in France, qualité) · matrice de Porter 2×2.;;Corrigé UE3 2022 (Drive)
UE3;2022;1;Q4-Q6 B to B / B to C, marketing stratégique, leviers;n.c.;Enjeux B to C · étapes du marketing stratégique (analyse, objectifs SMART, segmentation-ciblage-positionnement) · 4P puis 7P (people, process, physical evidence) · e-réputation.;Leviers « modernes » = digital et fidélisation.;Corrigé UE3 2022 (Drive)
UE3;2022;2;Q1 enjeux de la GEPP;n.c. (dossier 35 pts selon sujet);Définition · enjeux stratégiques, économiques, sociaux, légaux (négociation triennale ≥ 300 salariés).;Gant Maille n'est pas soumise à l'obligation : le dire.;Corrigé UE3 2022 (Drive)
UE3;2022;2;Q2-Q3 diagnostic RH et knowledge management;n.c.;Pyramide des âges (champignon), sous-effectif de couturières, manque de modéliste et de marketing · formation, tutorat, recrutement · modèle SECI de Nonaka et Takeuchi (socialisation, extériorisation, combinaison, intériorisation).;Appliquer chaque étape SECI au cas.;Corrigé UE3 2022 (Drive)
UE3;2022;2;Q4 construire un TBS;n.c.;Tableau problème RH / moyen d'action / indicateur / cible / réalisé / écart · turnover, recrutements, départs en retraite < 5 ans, formation.;;Corrigé UE3 2022 (Drive)
UE3;2022;2;Q6 masse salariale 2022 (méthode indiciaire);n.c.;Indices : 1 221 (hausse 3 % au 1/6) et 1 242 (hausse 6 %) pour base 1 200. Masse 2021 = 516 900 €. Corrigé : 529 707,75 € et coût visible 12 807 €. RECALCUL : 1 242 / 1 200 = 1,035 (et non 1,034) et 46 800 × 1,0175 = 47 619 (et non 47 419) → masse 2022 = 529 935,75 € · coût visible ≈ 13 035,75 €.;ALERTE : erreur de coefficient dans le corrigé (1,034 au lieu de 1,035) et total incohérent avec ses propres lignes. Retenir le raisonnement, pas le chiffre.;Corrigé UE3 2022 (Drive) + recalcul
UE3;2022;2;Q7 coûts cachés et décision d augmenter les salaires;n.c.;Dysfonctionnements (démotivation, absentéisme, rotation, qualité, recrutement) → surtemps, sursalaires, non-production, surconsommations · décision justifiée si coûts cachés > coût visible de l'augmentation (sécurité : ≥ 2 × ≈ 25 000 €).;Raisonnement « balance économique » réutilisable.;Corrigé UE3 2022 (Drive)
UE3;2022;3;Q1 parties prenantes, objectifs contradictoires;n.c. (dossier 25 pts selon sujet);Freeman, Carroll · primaires/secondaires, internes/externes · tableau PP/attentes · conflits (client qualité vs prix, etc.) · gouvernance partenariale.;;Corrigé UE3 2022 (Drive)
UE3;2022;3;Q2 gouvernance familiale;n.c.;Avantages/inconvénients (longévité, stabilité vs conflits, succession) · évolutions : holding familiale, dirigeant externe, pacte d'associés, actionnariat salarié, investisseurs.;;Corrigé UE3 2022 (Drive)
UE3;2022;3;Q3 RSE, DD et processus RSE;n.c.;Livre vert UE 2001 · rapport Brundtland 1987 · dialogue interne/externe · ISO 26000 · objectifs SMART.;;Corrigé UE3 2022 (Drive)
UE3;2021;1;Q1 SWOT et FCS;24 pts (dossier);Intérêt de la SWOT · tableau forces/faiblesses/opportunités/menaces · FCS : tiers de confiance, grades de qualité, sélection des reconditionneurs.;;Corrigé UE3 2021 (copie FicheBEN, Drive)
UE3;2021;1;Q2-Q3 stratégie océan bleu et durabilité;n.c.;Innovation de valeur centrée sur la relation client · exemples (Tediber, Emma, Nespresso) · risque de basculer en océan rouge (Fnac, Cdiscount, Apple).;Fournir au moins deux exemples.;Corrigé UE3 2021 (copie FicheBEN, Drive)
UE3;2021;2;Q1-Q3 business model canvas;24 pts (dossier);Vocation du BM · canvas en 9 blocs complété (annexe à rendre) · pierre angulaire : tiers de confiance et algorithme de sélection · risques : défaillance des reconditionneurs.;L'annexe complétée doit être rendue avec la copie.;Corrigé UE3 2021 (copie FicheBEN, Drive)
UE3;2021;3;Q1-Q3 intégration, communication interne, happiness manager;26 pts (dossier);Intégration présentielle et à distance · générations X/Y, motivations intrinsèques · rôle du happiness manager.;;Corrigé UE3 2021 (copie FicheBEN, Drive)
UE3;2021;3;Q4 seuil de rentabilité du happiness manager;n.c.;Coût 85 000 € (50 000 + 40 % + 15 000) · coût de renouvellement 7 600 €/départ (recrutement 10 % + intégration 10 % de 38 000) · seuil 85 000 / 7 600 = 11,18 → 12 départs évités · turnover de 15 % à 11 %.;Arrondir au nombre entier supérieur.;Corrigé UE3 2021 (copie FicheBEN, Drive)
UE3;2021;4;Q1 BSPCE et fidélisation;26 pts (dossier);Bons attribués gratuitement, exercice à prix privilégié, dilution, gain en capital, liquidité à l'introduction en bourse.;;Corrigé UE3 2021 (copie FicheBEN, Drive)
UE3;2021;4;Q2 évolution du CA et rentabilité 2016-2021;n.c.;+220 % = coefficient 3,2 (736 000 = 230 000 × 3,2) · CA = taux de commission × volume d'affaires · masse salariale = effectif × salaire × 1,40 × 12. ALERTE : dans le tableau du corrigé, les marges 2020 (−26 296) et 2021 (+28 460) ne correspondent pas à la somme des lignes affichées (−28 400 et −47 620).;ALERTE : Piège « +220 % ≠ ×2,2 ». Refaire l'addition : incohérence interne du corrigé, non vérifiée contre le sujet.;Corrigé UE3 2021 (copie FicheBEN, Drive) + recalcul
UE3;2021;4;Q3-Q4 résultats de start-up et outils de CG;n.c.;Pertes normales en phase de croissance · choisir ≥ 3 outils parmi 7 avec nature, périodicité, justification (trésorerie, TB commercial, budget, BSC…).;;Corrigé UE3 2021 (copie FicheBEN, Drive)
UE3;2020;1;Q1-Q3 diagnostic stratégique (SER-START);60 pts (dossier);Démarche : outil (5+1 forces, SWOT, PESTEL), forces/faiblesses, positionnement · note de synthèse.;;Corrigé UE3 2020 (Drive)
UE3;2020;1;Q4 coûts, marges, seuils de rentabilité par activité;n.c.;Coûts unitaires selon deux clés (ex. location 8,16 €/h gestionnaire ou 31,48 €/place) · MCV globale 89 000, CF 82 000, résultat 7 000 · SR global = 82 × 117 / 89 ≈ 107 k€ · marge sur coûts spécifiques : service I&D −7 600 €.;Discuter la pertinence des clés de répartition et des inducteurs.;Corrigé UE3 2020 (Drive)
UE3;2020;1;Q5-Q11 tarification, valeur, packs, préconisations;n.c.;Valeur pour le client : pack 1 gain 200 €, pack 2 perte 3 000 € (non viable) · tarification dynamique · nouveau pack (ex. 3 mois + 3 prestations à 3 000 € contre 3 600 €) · ≥ 3 préconisations justifiées.;;Corrigé UE3 2020 (Drive)
UE3;2020;2;Q1-Q3 diagnostic des processus et coûts des dysfonctionnements;40 pts (dossier);Audit interne vs diagnostic interne · 6 thèmes socio-économiques · effet-miroir · ≥ 5 dysfonctionnements · coûts cachés (surtemps, sursalaires, surconsommations, non-production, non-création de potentiel, risques).;;Corrigé UE3 2020 (Drive)
UE3;2020;2;Q4-Q5 groupe de projet et balance économique;n.c.;Groupe restreint + plénier · plans d'actions · balance économique : coût des solutions < coût des dysfonctionnements · surcoût annuel chiffré 60 200 €.;;Corrigé UE3 2020 (Drive)
UE3;2020;2;Q6-Q8 tableau de bord de pilotage et performance globale;n.c.;Définitions TB et indicateur · domaines économique, social, environnemental · un indicateur par domaine justifié.;;Corrigé UE3 2020 (Drive)
